# MOEX fundamental crosswalk — ticker -> issuer INN (holdings mapped to operating subsidiary) + data-source routing.
# Built 2026-07-07. INNs web-resolved (rusprofile/cbonds/e-disclosure/CBR, confidence=high) then VALIDATED against
# RFSD (irlspbru/RFSD) partitions 2019/2020/2021: presence + real revenue/GP + OKVED. Bank REGN from CBR coinfo.
# data_source: rfsd = FTS RAS via RFSD (GP/A computable); rfsd_partial = numbers in some years only;
#   cbr = bank form 101/102 (ROA/ROE, NOT GP/A); issuer_ifrs = RFSD NULL/absent -> needs issuer IFRS or e-disclosure.
# rfsd_usable: TRUE if chosen_key has real revenue+assets in >=1 of 2019-2021 (GP/A harvestable).
# CRITICAL FINDING: the entire metals-&-mining sector + Rosneft/Surgut/Rostelecom are SYSTEMATICALLY NULL in RFSD
#   (крупнейшие-налогоплательщики file via inter-regional FTS inspectorates, excluded from the public ГИР БО).
# columns: ticker,imoex_weight_pct,listed_inn,is_holding,operating_inn,chosen_key,data_source,rfsd_usable,notes
#
# --- data_source = rfsd (GP/A computable on standalone RAS) ---
CHMF,0.75,3528000597,no,,3528000597,issuer_ifrs,no,steel; RFSD NULL all years
NLMK,0.64,4823006703,no,,4823006703,issuer_ifrs,no,steel; RFSD NULL all years
MAGN,0.39,7414003633,no,,7414003633,issuer_ifrs,no,steel (MMK); RFSD NULL all years
ALRS,0.35,1433000147,no,,1433000147,issuer_ifrs,no,diamonds; RFSD NULL all years
IRAO,0.98,2320109650,no,,2320109650,issuer_ifrs,no,power; RFSD has assets but revenue NULL -> GP/A not computable
RTKM,0.48,7707049388,no,,7707049388,issuer_ifrs,no,telecom; RFSD NULL all years
ENPG,0.44,3906382033,yes,3906394938,,issuer_ifrs,no,En+ holding shell (GP/A 0.005-0.009); opco RUSAL NULL
FLOT,0.34,7702060116,yes,,,issuer_ifrs,no,shipping; no single opco (ship SPVs); RFSD NULL
AFKS,0.34,7703104630,yes,7740000076,,issuer_ifrs,no,conglomerate (Система); standalone shell; MTS is only one asset — no valid single proxy
MOEX,1.18,7702077840,no,,7702077840,issuer_ifrs,no,exchange (НФО); absent from RFSD despite FTS-RAS expectation -> issuer IFRS
RENI,0.2,7725497022,no,,7725497022,issuer_ifrs,no,insurer (НФО); absent from RFSD -> issuer IFRS / CBR XBRL
